20260923-16:11:19.825732 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857294 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857305 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857312 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857319 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857326 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857333 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857340 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857348 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857355 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857362 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857365 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857376 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857383 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857387 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857394 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857400 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857407 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857414 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857421 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857427 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857434 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857441 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857448 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857455 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857461 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857472 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857478 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857485 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857492 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857499 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857505 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857514 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857520 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857548 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857555 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857561 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857568 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857575 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857581 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857588 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857595 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857602 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857608 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857616 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857623 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857633 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857651 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857657 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857664 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857673 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857681 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857687 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857694 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857700 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857707 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857715 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857721 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857728 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857734 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857741 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857747 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857751 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857754 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857756 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857759 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857761 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857764 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857766 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857769 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857775 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857782 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857789 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857796 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857803 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857809 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857815 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857822 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857829 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857832 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857835 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857838 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857840 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857843 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857845 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857848 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857850 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857853 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857855 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857857 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857864 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857871 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857877 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857885 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857892 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857899 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857906 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857912 : ERROR , FIX Server , Socket error :0, socket event result :0 
20260923-16:11:19.857922 : ERROR , FIX Server , Socket error :0, socket event result :0 
